"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"TOP (mm)";"GND1 (mm)";"S1 (mm)";"PW1 (mm)";"S2 (mm)";"GND2 (mm)";"PW2 (mm)";"BOT (mm)";
483;"/MPU/H2_P";2;0;0.0000;12.5691;0.0000;12.5691;12.5691;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
484;"/MPU/H2_N";2;0;0.0000;12.5688;0.0000;12.5688;12.5688;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
485;"/MPU/H1_P";2;0;0.0000;12.5447;0.0000;12.5447;12.5447;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
486;"/MPU/H1_N";2;0;0.0000;12.5447;0.0000;12.5447;12.5447;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
487;"/MPU/H0_P";2;0;0.0000;12.5259;0.0000;12.5259;12.5259;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
488;"/MPU/H0_N";2;0;0.0000;12.5258;0.0000;12.5258;12.5258;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
489;"/MPU/H5_P";2;0;0.0000;11.9593;0.0000;11.9593;11.9593;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
490;"/MPU/H5_N";2;0;0.0000;12.4959;0.0000;12.4959;12.4959;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
491;"/MPU/H4_P";2;0;0.0000;12.5216;0.0000;12.5216;12.5216;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
492;"/MPU/H4_N";2;0;0.0000;12.2546;0.0000;12.2546;12.2546;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
493;"/MPU/R_GND";13;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
508;"IX8_PCIE1_CLK_P";2;0;0.0000;8.1535;0.0000;8.1535;8.1535;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
509;"IX8_PCIE1_CLK_N";2;0;0.0000;8.1535;0.0000;8.1535;8.1535;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
510;"HOST_PCIE1_CLK_P";2;2;1.0397;67.6433;0.0000;68.6830;0.8901;0.0000;65.4998;0.0000;0.0000;0.0000;0.0000;1.2534;
511;"IX8_PCIE2_CLK_P";2;0;0.0000;10.5996;0.0000;10.5996;10.5996;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
512;"IX8_PCIE2_CLK_N";2;0;0.0000;10.5996;0.0000;10.5996;10.5996;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
